trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'a': 0.95, 'e': 3.400961451802425e-05}",25,10,13.531921412085392,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.95, 'e': 3.361638328055561e-05}",20,14,12.249919161108576,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.95, 'e': 3.322993285892066e-05}",20,12,13.298232258528483,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.95, 'e': 3.2850108241106656e-05}",25,11,27.207798743484474,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.95, 'e': 3.2476758819469816e-05}",25,0,29.901968471873353,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.95, 'e': 3.2109738241413856e-05}",20,10,22.263818127059324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.95, 'e': 3.174890426594152e-05}",30,5,37.82110852107638,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.95, 'e': 3.139411862581664e-05}",25,0,41.793683259841096,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.95, 'e': 3.1045246895087245e-05}",25,5,24.836506949440256,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.95, 'e': 3.070215836173283e-05}",25,17,10.186283142254737,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
